experiment,od550aer,abs550aer,angstrm550_865,ssa550,ccns.3,ccncol.3,cdnc_incl_ct,clt,cllvi,clivi,pr,scre,lcre,fnet
conv_entrscv_H,1.4924e-01,4.8279e-03,9.1744e-01,9.6663e-01,1.5630e+08,8.3677e+15,4.4677e+07,6.8880e-01,9.8300e-02,1.0593e-02,3.4899e-05,-5.4339e+01,2.8731e+01,-6.9745e+00
conv_entrscv_L,1.3265e-01,4.7090e-03,9.5315e-01,9.6440e-01,1.6727e+08,8.3640e+15,3.8774e+07,6.7242e-01,8.2263e-02,1.1846e-02,3.4312e-05,-4.9564e+01,3.2708e+01,2.2710e+00
conv_entrmid_H,1.5034e-01,4.8470e-03,9.1892e-01,9.6666e-01,1.5796e+08,8.3692e+15,4.5813e+07,6.8712e-01,1.0025e-01,1.0506e-02,3.4978e-05,-5.4580e+01,2.8226e+01,-7.7718e+00
conv_entrmid_L,1.4856e-01,4.8004e-03,9.1641e-01,9.6661e-01,1.5748e+08,8.3670e+15,4.5543e+07,6.9199e-01,9.8958e-02,1.0671e-02,3.5066e-05,-5.4628e+01,2.9505e+01,-6.5132e+00
conv_entrpen_H,1.5377e-01,4.9115e-03,9.1499e-01,9.6688e-01,1.5934e+08,8.3716e+15,4.5891e+07,6.8336e-01,1.0580e-01,9.7936e-03,3.4878e-05,-5.4988e+01,2.7346e+01,-9.2482e+00
conv_entrpen_L,1.3248e-01,4.4254e-03,9.0677e-01,9.6482e-01,1.5328e+08,8.3491e+15,4.6112e+07,7.1004e-01,7.9381e-02,1.2079e-02,3.9071e-05,-5.3776e+01,3.5067e+01,-5.6134e-01
conv_cprcon_H,1.0805e-01,4.3198e-03,9.2865e-01,9.6153e-01,1.5083e+08,8.3421e+15,3.8265e+07,6.1291e-01,6.9446e-02,7.5152e-03,3.6852e-05,-4.1100e+01,2.2448e+01,-1.3876e-01
conv_cprcon_L,1.6909e-01,5.0871e-03,9.1542e-01,9.6798e-01,1.6124e+08,8.3822e+15,4.9661e+07,7.1638e-01,1.1292e-01,1.2415e-02,3.3821e-05,-5.9682e+01,3.1740e+01,-9.2961e+00
conv_cmfctop_H,1.4111e-01,4.8826e-03,9.4765e-01,9.6541e-01,1.5695e+08,8.3730e+15,3.2187e+07,6.3029e-01,8.2950e-02,1.0958e-02,3.4441e-05,-4.6080e+01,2.8270e+01,1.0259e+00
conv_cmfctop_L,1.5687e-01,4.8026e-03,8.8233e-01,9.6769e-01,1.6030e+08,8.3657e+15,5.5872e+07,7.3210e-01,1.1787e-01,1.0293e-02,3.5330e-05,-6.2058e+01,2.9093e+01,-1.4600e+01
cld_opt_cinhomi_H,1.5030e-01,4.8433e-03,9.1796e-01,9.6664e-01,1.5819e+08,8.3688e+15,4.5457e+07,6.9848e-01,1.0017e-01,1.0776e-02,3.4512e-05,-5.7851e+01,3.4285e+01,-5.0153e+00
cld_opt_cinhomi_L,1.4933e-01,4.8198e-03,9.1764e-01,9.6664e-01,1.5752e+08,8.3680e+15,4.6098e+07,6.8537e-01,9.9249e-02,1.0590e-02,3.5168e-05,-5.3240e+01,2.6612e+01,-8.0063e+00
cld_opt_cinhoml1_H,1.4963e-01,4.8266e-03,9.1756e-01,9.6670e-01,1.5761e+08,8.3684e+15,4.6951e+07,6.8974e-01,9.9567e-02,1.0638e-02,3.4983e-05,-5.5808e+01,2.8706e+01,-8.5086e+00
cld_opt_cinhoml1_L,1.4983e-01,4.8278e-03,9.1759e-01,9.6663e-01,1.5762e+08,8.3683e+15,4.6999e+07,6.8864e-01,9.9792e-02,1.0661e-02,3.5018e-05,-5.2925e+01,2.8766e+01,-5.5753e+00
cld_opt_cinhoml3_H,1.4961e-01,4.8299e-03,9.1828e-01,9.6666e-01,1.5742e+08,8.3685e+15,4.5114e+07,6.8730e-01,9.9315e-02,1.0639e-02,3.4858e-05,-5.6328e+01,2.8772e+01,-8.9285e+00
cld_opt_cinhoml3_L,1.4962e-01,4.8218e-03,9.1568e-01,9.6663e-01,1.5752e+08,8.3679e+15,4.6539e+07,6.8990e-01,9.9859e-02,1.0681e-02,3.5205e-05,-5.2225e+01,2.8806e+01,-4.8523e+00
turb_prandtl_H,1.5003e-01,4.8350e-03,9.1660e-01,9.6668e-01,1.5780e+08,8.3684e+15,4.6576e+07,6.8932e-01,9.9812e-02,1.0659e-02,3.5006e-05,-5.4595e+01,2.8760e+01,-7.2572e+00
turb_prandtl_L,1.4210e-01,4.7474e-03,9.2157e-01,9.6621e-01,1.4467e+08,8.3627e+15,5.0688e+07,6.8961e-01,9.7157e-02,1.1642e-02,4.1418e-05,-5.4050e+01,3.0408e+01,-5.2351e+00
